"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 15:23:29 IST 2024","Tue Feb 06 15:23:38 IST 2024","8518","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify Create Account Sign Up Page with My Info Page Display Properly",""
"passed","Tue Feb 06 15:23:44 IST 2024","Tue Feb 06 15:23:59 IST 2024","15411","chromium","testart.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Work Button",""
"failed","Tue Feb 06 15:28:58 IST 2024","Tue Feb 06 15:30:26 IST 2024","88204","chromium","test.spec.js","Art & Writing Site","","","Verify Writing Work Checkout Payment Done Properly",""
"passed","Tue Feb 06 15:23:38 IST 2024","Tue Feb 06 15:24:04 IST 2024","25932","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify User Create Account Successfully",""
"passed","Tue Feb 06 15:26:44 IST 2024","Tue Feb 06 15:27:30 IST 2024","46202","chromium","test.spec.js","Art & Writing Site","","","Verify Review Work Page Displayed Properly",""
"passed","Tue Feb 06 15:23:44 IST 2024","Tue Feb 06 15:23:59 IST 2024","15570","chromium","test.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Work Button",""
"passed","Tue Feb 06 15:24:12 IST 2024","Tue Feb 06 15:24:27 IST 2024","15006","chromium","test.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Portfolio Button",""
"passed","Tue Feb 06 15:26:06 IST 2024","Tue Feb 06 15:26:44 IST 2024","38308","chromium","test.spec.js","Art & Writing Site","","","Verify Cash Awards Page Displayed Properly",""
"passed","Tue Feb 06 15:24:13 IST 2024","Tue Feb 06 15:24:32 IST 2024","19174","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Page Basic Info Data",""
"passed","Tue Feb 06 15:24:32 IST 2024","Tue Feb 06 15:25:04 IST 2024","31793","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Upload Page Display Properly",""
"broken","Tue Feb 06 15:25:01 IST 2024","Tue Feb 06 15:25:32 IST 2024","30664","chromium","test.spec.js","Art & Writing Site","","","Verify Work Upload Page Display Properly",""
"passed","Tue Feb 06 15:23:30 IST 2024","Tue Feb 06 15:23:44 IST 2024","13428","chromium","testart.spec.js","Art & Writing Site","","","Verify In My Account Dashboard Page Work Tab Is Visible",""
"passed","Tue Feb 06 15:24:27 IST 2024","Tue Feb 06 15:24:43 IST 2024","15358","chromium","test.spec.js","Art & Writing Site","","","Verify Manage Work Page",""
"passed","Tue Feb 06 15:26:28 IST 2024","Tue Feb 06 15:27:20 IST 2024","51937","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Review Page Displayed Properly",""
"passed","Tue Feb 06 15:23:08 IST 2024","Tue Feb 06 15:23:30 IST 2024","21900","chromium","test.spec.js","Art & Writing Site","","","Verify user able to login properly in art & write site",""
"broken","Tue Feb 06 15:25:33 IST 2024","Tue Feb 06 15:26:05 IST 2024","31748","chromium","test.spec.js","Art & Writing Site","","","Verify Writing Data Entered Properly on the Upload Work Page",""
"passed","Tue Feb 06 15:28:13 IST 2024","Tue Feb 06 15:28:58 IST 2024","44874","chromium","test.spec.js","Art & Writing Site","","","Verify Payment Page Displayed Properly",""
"passed","Tue Feb 06 15:23:59 IST 2024","Tue Feb 06 15:24:12 IST 2024","12704","chromium","test.spec.js","Art & Writing Site","","","Verify In My Account Dashboard Page Portfolio Tab Is Visible",""
"passed","Tue Feb 06 15:23:08 IST 2024","Tue Feb 06 15:23:30 IST 2024","22687","chromium","testart.spec.js","Art & Writing Site","","","Verify user able to login properly in art & write site",""
"passed","Tue Feb 06 15:23:08 IST 2024","Tue Feb 06 15:23:21 IST 2024","13702","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify Create Account Sign Up Page Display Properly",""
"passed","Tue Feb 06 15:27:20 IST 2024","Tue Feb 06 15:28:05 IST 2024","45662","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Submit Review Page Displayed Properly",""
"passed","Tue Feb 06 15:28:52 IST 2024","Tue Feb 06 15:30:13 IST 2024","80106","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Checkout Payment Done Properly",""
